ID,FullName,DOB,Sex,Class,HCode,DCode,Remission,MTest,PTest
1,r,6-4-1986 12:00 AM,F,1A,R,SSP,1,55,80
2,MARY,1-10-1986 12:00 AM,F,1A,R,HHM,0,89,92
3,PETER Agrawal,3-17-1986 12:00 AM,M,1A,G,HHM,1,100,100
4,WENDY,7-12-1986 12:00 AM,F,1B,B,YMT,1,99,80
5,Tobeee,10-17-1986 12:00 AM,M,1B,R,YMT,0,88,90
6,Prateik,10-18-1987 12:00 AM,M,1B,G,HHM,0,95,90
7,Rupa,12-5-1985 12:00 AM,F,1C,R,YMT,1,98,90
8,Y43T,5-12-1986 12:00 AM,M,1A,R,SSP,0,75,100
9,Ramish,3-12-1987 12:00 AM,M,1A,B,HHM,1,87,100
10,Rupa,3-11-1986 12:00 AM,M,1C,R,HHM,0,81,98
11,ARENA,2-12-1986 12:00 AM,M,1A,G,YMT,0,98,78
13,baba,2-2-2011 12:00 AM,M,1C,B,DDD,1,98,94
14,Rupa,2-8-2000 12:00 AM,M,1A,B,HWH,1,95,0
15,Prateek,7-23-2009 12:00 AM,M,2A,R,DDD,1,91,90
21,TEENA,9-1-2011 12:00 AM,F,1B,B,HHM,1,93,45
890,*ba,8-1-2012 12:00 AM,T,T,T,T,0,67,666
893,aaa,12-4-2011 12:00 AM,T,T,T,T,0,99,666
